iter	MultiClass
0	1.051891262
1	1.011624975
2	0.9762265092
3	0.9464056422
4	0.9192911038
5	0.8948623055
6	0.8714809769
7	0.8535212422
8	0.8370690021
9	0.8235606441
10	0.8084822619
11	0.7939979212
12	0.7804718047
13	0.7664245363
14	0.7544998544
15	0.7458853082
16	0.7381350056
17	0.7276011253
18	0.7175639202
19	0.7058028792
20	0.69681679
21	0.6902014605
22	0.6802763157
23	0.6730725411
24	0.666662151
25	0.657307627
26	0.6501854901
27	0.6457723094
28	0.6407175608
29	0.6347483483
30	0.6279620826
31	0.6220455477
32	0.6166561393
33	0.6132611783
34	0.6079715067
35	0.6018623777
36	0.5984967344
37	0.5939462452
38	0.5895399675
39	0.5853983959
40	0.5817105113
41	0.5787420337
42	0.5756901936
43	0.5724754286
44	0.568226109
45	0.5632188745
46	0.5591590386
47	0.5542923187
48	0.5512650493
49	0.5477258513
50	0.5454266343
51	0.5412729914
52	0.5373558068
53	0.5338907291
54	0.5300939226
55	0.5249164703
56	0.5225647026
57	0.5196477756
58	0.5166799544
59	0.5140069846
60	0.5119473722
61	0.5076383465
62	0.5057388162
63	0.5028582181
64	0.5012413891
65	0.4973347005
66	0.4946313402
67	0.492617098
68	0.4906105678
69	0.4891034317
70	0.4847823783
71	0.4833192455
72	0.4807756451
73	0.4791682475
74	0.4762755976
75	0.4735543608
76	0.4717991794
77	0.4694087831
78	0.4671487881
79	0.4650478796
80	0.4615139228
81	0.4597336548
82	0.4564153287
83	0.4553840391
84	0.4539054854
85	0.4520947705
86	0.4492092609
87	0.4467783617
88	0.4447623477
89	0.4434114842
90	0.4415324681
91	0.438828646
92	0.4366551262
93	0.4357425192
94	0.4327444039
95	0.4304381971
96	0.4281133624
97	0.4269304798
98	0.4244616267
99	0.4219518007
100	0.4210025425
101	0.4184260001
102	0.4164204026
103	0.4148692378
104	0.4131304413
105	0.4112719396
106	0.4097271236
107	0.4081580874
108	0.4060115786
109	0.4040928939
110	0.4019183496
111	0.399935159
112	0.3976116183
113	0.3965879282
114	0.3921100568
115	0.391185528
116	0.3900666709
117	0.3883386658
118	0.3859956236
119	0.38446059
120	0.3829613904
121	0.3808509694
122	0.3797527418
123	0.3783094304
124	0.3764601894
125	0.375538947
