iter	Passed	Remaining
0	207	207308
1	238	119232
2	269	89464
3	298	74222
4	326	64887
5	349	57911
6	364	51688
7	375	46604
8	386	42572
9	397	39358
10	409	36851
11	420	34643
12	430	32701
13	439	30979
14	449	29491
15	458	28173
16	466	26967
17	476	25970
18	484	25038
19	494	24226
20	503	23491
21	511	22759
22	521	22137
23	529	21531
24	538	21012
25	547	20501
26	556	20070
27	565	19618
28	574	19234
29	582	18833
30	592	18512
31	601	18187
32	609	17867
33	618	17570
34	626	17283
35	635	17024
36	644	16763
37	653	16546
38	662	16317
39	671	16117
40	680	15905
41	688	15713
42	696	15510
43	706	15340
44	714	15157
45	723	14997
46	731	14838
47	740	14692
48	749	14548
49	758	14402
50	768	14292
51	779	14205
52	789	14115
53	801	14033
54	812	13965
55	825	13914
56	835	13827
57	847	13769
58	860	13724
59	871	13658
60	883	13600
61	895	13553
62	906	13475
63	917	13415
64	928	13358
65	945	13382
66	961	13382
67	972	13322
68	985	13292
69	998	13261
70	1009	13207
71	1020	13147
72	1033	13120
73	1042	13047
74	1051	12967
75	1060	12898
76	1069	12819
77	1078	12747
78	1086	12670
79	1096	12606
80	1105	12538
81	1115	12493
82	1126	12448
83	1136	12390
84	1146	12344
85	1158	12307
86	1167	12256
87	1178	12215
88	1188	12169
89	1198	12114
90	1208	12067
91	1217	12020
92	1228	11985
93	1240	11955
94	1250	11917
95	1261	11877
96	1271	11833
97	1279	11778
98	1290	11747
99	1301	11711
100	1311	11673
101	1323	11654
102	1338	11654
103	1348	11616
104	1359	11586
105	1370	11561
106	1382	11535
107	1392	11503
108	1403	11471
109	1412	11431
110	1425	11414
111	1435	11381
112	1445	11347
113	1457	11325
114	1468	11301
115	1477	11261
116	1489	11238
117	1499	11209
118	1510	11181
119	1521	11157
120	1531	11125
121	1541	11095
122	1552	11067
123	1561	11032
124	1572	11009
125	1583	10983
126	1593	10952
127	1604	10927
128	1612	10887
129	1621	10852
130	1630	10816
131	1639	10781
132	1648	10748
133	1657	10711
134	1667	10682
135	1675	10644
136	1684	10610
137	1692	10573
138	1702	10544
139	1710	10508
140	1719	10474
141	1729	10449
142	1738	10417
143	1749	10398
144	1759	10374
145	1769	10348
146	1778	10320
147	1787	10287
148	1796	10261
